date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:45:25	8048/8048	---M--	200	added ('OK')	image/jpeg	etag:%2266b3bd0d-1f70%22	https://www.hotbot.com/images/avatar/llama.jpg	C:/Users/santi/OneDrive/Desktop/chatbot/www.hotbot.com/images/avatar/llama.jpg	(from https://www.hotbot.com/chat/3f4a930c-164c-474c-9972-030fad9c739c)
19:45:25	10338/10338	---M--	200	added ('OK')	image/jpeg	etag:%2266b3bd0d-2862%22	https://www.hotbot.com/images/avatar/sonnet.jpg	C:/Users/santi/OneDrive/Desktop/chatbot/www.hotbot.com/images/avatar/sonnet.jpg	(from https://www.hotbot.com/chat/3f4a930c-164c-474c-9972-030fad9c739c)
19:45:26	2364/2364	---M--	200	added ('OK')	image/png	etag:%2266f5b503-93c%22	https://www.hotbot.com/images/avatar/deepseek.png	C:/Users/santi/OneDrive/Desktop/chatbot/www.hotbot.com/images/avatar/deepseek.png	(from https://www.hotbot.com/chat/3f4a930c-164c-474c-9972-030fad9c739c)
19:45:27	10231/10231	---M--	200	added ('OK')	image/jpeg	etag:%2266eae99a-27f7%22	https://www.hotbot.com/images/avatar/gemini.jpg	C:/Users/santi/OneDrive/Desktop/chatbot/www.hotbot.com/images/avatar/gemini.jpg	(from https://www.hotbot.com/chat/3f4a930c-164c-474c-9972-030fad9c739c)
19:45:27	10204/10204	---M--	200	added ('OK')	image/jpeg	etag:%2266b3bd0d-27dc%22	https://www.hotbot.com/images/avatar/chatgpt.jpg	C:/Users/santi/OneDrive/Desktop/chatbot/www.hotbot.com/images/avatar/chatgpt.jpg	(from https://www.hotbot.com/chat/3f4a930c-164c-474c-9972-030fad9c739c)
19:45:28	4102/4102	---M--	200	added ('OK')	image/jpeg	etag:%22670fe9ec-1006%22	https://www.hotbot.com/images/avatar/xai.jpg	C:/Users/santi/OneDrive/Desktop/chatbot/www.hotbot.com/images/avatar/xai.jpg	(from https://www.hotbot.com/chat/3f4a930c-164c-474c-9972-030fad9c739c)
19:45:28	2668/2668	---M--	200	added ('OK')	image/png	etag:%2266fc3e5b-a6c%22	https://www.hotbot.com/images/avatar/lambda.png	C:/Users/santi/OneDrive/Desktop/chatbot/www.hotbot.com/images/avatar/lambda.png	(from https://www.hotbot.com/chat/3f4a930c-164c-474c-9972-030fad9c739c)
19:45:29	1453/1453	---M--	200	added ('OK')	image/png	etag:%2266f17f2b-5ad%22	https://www.hotbot.com/images/avatar/hb-assistant.png	C:/Users/santi/OneDrive/Desktop/chatbot/www.hotbot.com/images/avatar/hb-assistant.png	(from https://www.hotbot.com/chat/3f4a930c-164c-474c-9972-030fad9c739c)
19:45:30	6626/6626	---M--	200	added ('OK')	image/jpeg	etag:%2266b3bd0d-19e2%22	https://www.hotbot.com/images/avatar/mistral.jpg	C:/Users/santi/OneDrive/Desktop/chatbot/www.hotbot.com/images/avatar/mistral.jpg	(from https://www.hotbot.com/chat/3f4a930c-164c-474c-9972-030fad9c739c)
19:45:30	1653/1653	---M--	200	added ('OK')	image/png	etag:%2266b3bd0d-675%22	https://www.hotbot.com/images/avatar/hotbot.png	C:/Users/santi/OneDrive/Desktop/chatbot/www.hotbot.com/images/avatar/hotbot.png	(from https://www.hotbot.com/chat/3f4a930c-164c-474c-9972-030fad9c739c)
19:45:31	8236/8236	---M--	200	added ('OK')	image/png	etag:%2266f5b503-202c%22	https://www.hotbot.com/images/avatar/openchat.png	C:/Users/santi/OneDrive/Desktop/chatbot/www.hotbot.com/images/avatar/openchat.png	(from https://www.hotbot.com/chat/3f4a930c-164c-474c-9972-030fad9c739c)
19:45:31	6935/6935	---M--	200	added ('OK')	image/jpeg	etag:%22670fe9ec-1b17%22	https://www.hotbot.com/images/avatar/qwen.jpg	C:/Users/santi/OneDrive/Desktop/chatbot/www.hotbot.com/images/avatar/qwen.jpg	(from https://www.hotbot.com/chat/3f4a930c-164c-474c-9972-030fad9c739c)
19:45:32	1453/1453	---M--	200	added ('OK')	image/png	etag:%2266f17f2b-5ad%22	https://www.hotbot.com/images/avatar/hb-web-search.png	C:/Users/santi/OneDrive/Desktop/chatbot/www.hotbot.com/images/avatar/hb-web-search.png	(from https://www.hotbot.com/chat/3f4a930c-164c-474c-9972-030fad9c739c)
19:45:33	4339/4339	---M--	200	added ('OK')	image/png	etag:%2266fc3e5b-10f3%22	https://www.hotbot.com/images/avatar/wizard.png	C:/Users/santi/OneDrive/Desktop/chatbot/www.hotbot.com/images/avatar/wizard.png	(from https://www.hotbot.com/chat/3f4a930c-164c-474c-9972-030fad9c739c)
19:45:34	6741/6741	---M--	200	added ('OK')	image/png	etag:%226656085a-1a55%22	https://www.hotbot.com/images/btn-ask-rounded.png	C:/Users/santi/OneDrive/Desktop/chatbot/www.hotbot.com/images/btn-ask-rounded.png	(from https://www.hotbot.com/chat/3f4a930c-164c-474c-9972-030fad9c739c)
19:45:34	10025/10025	---M--	200	added ('OK')	image/png	etag:%2266460c97-2729%22	https://www.hotbot.com/images/btn-ask.png	C:/Users/santi/OneDrive/Desktop/chatbot/www.hotbot.com/images/btn-ask.png	(from https://www.hotbot.com/static/app-bot-29096172.css)
19:45:35	9147/9147	---M--	200	added ('OK')	image/png	etag:%226656085a-23bb%22	https://www.hotbot.com/images/btn-ask-pill.png	C:/Users/santi/OneDrive/Desktop/chatbot/www.hotbot.com/images/btn-ask-pill.png	(from https://www.hotbot.com/static/app-bot-29096172.css)
